,chemicalFormula Clean,index,Band gap values Clean,Reliability
206,In2Se3,927.0,1.2,1.0
207,In2Te3,940.5,0.98,1.0
208,In4S5,914.0,0.9,1.0
209,Ir1S2,1234.0,0.9,1.0
210,Ir1Se2,1235.0,1.0,1.0
211,K1Br1,237.0,7.6,1.0
212,K1Cl1,231.0,8.5,1.0
213,K1F1,227.5,10.600000000000001,1.0
214,K1I1,252.0,6.17,1.0
215,K2S1,230.0,2.1,1.0
216,K2Se1,236.0,1.8,1.0
217,K2Te1,251.0,1.9,1.0
218,K3Sb1,246.0,1.4000000000000001,1.0
219,La1B6,1072.0,0.08,1.0
220,La1F3,1077.0,6.6,1.0
221,La1Sb1,1082.0,0.8,1.0
222,La2O3,1075.0,1.05,1.0
223,La2S3,1078.0,1.32,1.0
224,La2Se3,1080.0,1.97,1.0
225,La2Te3,1083.0,0.1,1.0
226,La3Te4,1084.0,0.43,1.0
227,Li1Br1,7.0,7.95,1.0
228,Li1Cl1,6.0,9.33,1.0
229,Li1F1,0.5,13.105,1.0
230,Li1I1,10.0,6.0,1.0
231,Li3Bi1,15.0,0.7,1.0
232,Li3Sb1,9.0,1.0,1.0
233,Lu2O3,1202.0,3.94,1.0
234,Mg1F2,92.0,11.8,1.0
235,Mg1O1,89.0,7.77,1.0
236,Mg1Se1,125.0,5.6,1.0
237,Mg1Te1,139.0,4.7,1.0
238,Mg2Ge1,107.5,1.0859999999999999,1.0
239,Mg2Pb1,141.0,0.0409999999999999,1.0
240,Mg2Si1,97.5,1.435,1.0
241,Mg2Sn1,128.5,0.1575,1.0
242,Mg3As2,123.0,2.55,1.0
243,Mg3Bi2,144.0,0.1,1.0
244,Mg3P2,105.0,1.4,1.0
245,Mg3Sb2,137.0,0.82,1.0
246,Mn1Al3,340.0,0.58,1.0
247,Mn1F2,337.5,10.05,1.0
248,Mn1I2,351.0,4.04,1.0
249,Mn1O1,331.0,3.7,1.0
250,Mn1O2,330.0,0.26,1.0
251,Mn1S1,343.0,6.2,1.0
252,Mn1Se1,346.0,1.8,1.0
253,Mn1Se2,345.0,0.2,1.0
254,Mn1Te1,347.0,1.25,1.0
255,Mn1Te2,348.0,0.48,1.0
256,MnSi,341.0,0.6,1.0
257,Mo1O3,749.5,3.3083333333333336,1.0
258,Mo1S2,754.5,1.0699999999999998,1.0
259,Mo1Te2,760.0,0.83,1.0
260,Na1Br1,72.0,7.5,1.0
261,Na1Cl1,65.0,8.97,1.0
262,Na1F1,63.0,10.5,1.0
263,Na1I1,84.0,5.89,1.0
264,Na2S1,64.0,2.4,1.0
265,Na2Se1,71.0,2.0,1.0
266,Na2Te1,82.0,2.3,1.0
267,Na3Sb1,76.0,1.1,1.0
268,Nb1O2,741.0,0.25,1.0
269,Nb1Se2,746.0,1.4,1.0
270,Nb2O5,742.0,3.48,1.0
271,Nb2S3,745.0,0.12,1.0
272,Nd1As1,1116.0,1.04,1.0
273,Nd1B6,1110.0,4.9,1.0
274,Nd1F3,1114.0,6.15,1.0
275,Nd1Te2,1119.0,0.3,1.0
276,Nd2O3,1113.0,0.97,1.0
277,Nd2S3,1115.0,3.0,1.0
278,Nd2Se3,1117.0,1.7,1.0
279,Nd2Te3,1121.0,1.12,1.0
280,Nd2Te5,1118.0,0.29,1.0
281,Nd4Te7,1120.0,0.38,1.0
282,Ni1As2,389.0,0.05,1.0
283,Ni1O1,381.0,3.7,1.0
284,Ni1P2,385.0,0.5,1.0
285,Ni1S1,386.0,0.12,1.0
286,Ni1S2,387.0,0.5,1.0
287,NiTe,390.0,0.23,1.0
288,Os1As2,1231.0,0.9,1.0
289,Os1P2,1229.0,1.2,1.0
290,Os1S2,1230.0,2.0,1.0
291,Os1Sb2,1232.0,0.2,1.0
292,Os1Te2,1233.0,0.3,1.0
293,P,218.5,0.9650000000000001,1.0
294,P1As1,222.0,0.23,1.0
295,Pb1Br2,1367.0,3.2,1.0
296,Pb1Cl2,1352.0,3.82,1.0
297,Pb1I2,1385.0,2.32,1.0
298,Pb1N6,1320.0,3.02,1.0
299,Pb1O1,1323.0,2.512,1.0
300,Pb1O2,1326.5,1.85,1.0
301,Pb1S1,1342.0,0.41,1.0
302,Pb1Se1,1355.0,0.27,1.0
303,Pb1Te1,1371.0,0.31,1.0
304,Pb2O3,1325.0,1.67,1.0
305,Pb3O4,1328.0,2.12,1.0
306,Pd1O1,775.0,1.5,1.0
307,Pd1P2,777.0,0.65,1.0
308,Pd1S1,778.0,0.5,1.0
309,Pd1S2,779.0,0.75,1.0
310,Pd1Se1,780.0,0.2,1.0
311,Pd1Se2,781.0,0.4,1.0
312,Pd1Te2,782.0,1.8,1.0
313,Pr1As1,1103.0,1.0,1.0
314,Pr1B6,1096.0,4.9,1.0
315,Pr1F3,1101.0,5.9,1.0
316,Pr1O2,1097.0,0.66,1.0
317,Pr1Sb1,1106.0,0.66,1.0
318,Pr1Te2,1107.5,1.154,1.0
319,Pr2O3,1098.0,0.84,1.0
320,Pr2Se3,1104.0,1.8,1.0
321,Pr2Te3,1109.0,1.3,1.0
322,Pt1As2,1241.0,0.55,1.0
323,Pt1O2,1236.0,0.2,1.0
324,Pt1P2,1237.0,0.8,1.0
325,Pt1S1,1239.0,0.8,1.0
326,Pt1S2,1240.0,0.75,1.0
327,Pt1Sb2,1244.0,0.11,1.0
328,Pt1Se2,1243.0,0.1,1.0
329,Rb1Br1,699.0,7.2,1.0
